method,region,confidence_drop,attribution_mass,prediction_changed
gradcam,background,0.06508902779647283,0.5023880728653499,0.42857142857142855
gradcam,eyes,0.0892730930021831,0.23512439562806062,0.2857142857142857
gradcam,mouth,0.1976861676999501,0.10745416980768953,0.5714285714285714
lime,background,0.06508902779647283,0.24974551690476282,0.42857142857142855
lime,eyes,0.0892730930021831,0.18634202650615148,0.2857142857142857
lime,mouth,0.1976861676999501,0.24780384451150894,0.5714285714285714
shap,background,0.06508902779647283,0.5166849110807691,0.42857142857142855
shap,eyes,0.0892730930021831,0.10201148529137884,0.2857142857142857
shap,mouth,0.1976861676999501,0.15911470779350825,0.5714285714285714
